,GEOID_COUSUB,med_hh_inc
0,0600000US5100191196,48639
1,0600000US5100191346,49821
2,0600000US5100191496,35845
3,0600000US5100191646,39019
4,0600000US5100191796,44063
5,0600000US5100191946,35875
6,0600000US5100192096,60039
7,0600000US5100192246,45726
8,0600000US5100192396,45365
9,0600000US5100393983,57670
10,0600000US5100395311,73031
11,0600000US5100395319,76780
12,0600000US5100395567,103603
13,0600000US5100395607,72237
14,0600000US5100396359,83685
15,0600000US5100590424,63073
16,0600000US5100590877,43801
17,0600000US5100590878,27596
18,0600000US5100591016,55556
19,0600000US5100593527,56080
20,0600000US5100594015,50743
21,0600000US5100595635,53309
22,0600000US5100791199,51759
23,0600000US5100791349,54375
24,0600000US5100791499,62933
25,0600000US5100791649,71953
26,0600000US5100791799,55288
27,0600000US5100991200,45142
28,0600000US5100991350,54801
29,0600000US5100991500,63444
30,0600000US5100991650,50015
31,0600000US5100991800,34647
32,0600000US5101190054,54375
33,0600000US5101190985,42370
34,0600000US5101193524,69267
35,0600000US5101195083,49267
36,0600000US5101196459,62266
37,0600000US5101390072,117374
38,0600000US5101590272,49315
39,0600000US5101594671,58561
40,0600000US5101594911,72841
41,0600000US5101594999,54934
42,0600000US5101595335,56185
43,0600000US5101595791,65495
44,0600000US5101596271,71123
45,0600000US5101790672,33889
46,0600000US5101794695,37000
47,0600000US5101796167,48250
48,0600000US5101796239,51463
49,0600000US5101796399,55504
50,0600000US5101991209,55585
51,0600000US5101991359,55902
52,0600000US5101991509,66261
53,0600000US5101991659,76341
54,0600000US5101991805,81655
55,0600000US5101991950,49230
56,0600000US5101992102,51579
57,0600000US5102191210,46392
58,0600000US5102191360,45662
59,0600000US5102191510,52037
60,0600000US5102191660,54000
61,0600000US5102390048,80395
62,0600000US5102390384,75824
63,0600000US5102390528,56703
64,0600000US5102393575,62884
65,0600000US5102396159,70590
66,0600000US5102594639,53814
67,0600000US5102595151,34184
68,0600000US5102595255,42500
69,0600000US5102595983,37961
70,0600000US5102596103,33125
71,0600000US5102793679,36959
72,0600000US5102793951,32813
73,0600000US5102794151,19583
74,0600000US5102794903,33523
75,0600000US5102795167,30897
76,0600000US5102795415,29965
77,0600000US5102795775,31633
78,0600000US5102991212,43072
79,0600000US5102991362,41250
80,0600000US5102991512,47500
81,0600000US5102991665,45000
82,0600000US5102991810,47083
83,0600000US5102991956,51438
84,0600000US5102992106,49792
85,0600000US5103190032,46352
86,0600000US5103190504,44871
87,0600000US5103190968,50250
88,0600000US5103195503,52733
89,0600000US5103195623,51613
90,0600000US5103196015,47992
91,0600000US5103196087,64889
92,0600000US5103390440,60521
93,0600000US5103394423,77622
94,0600000US5103394583,63973
95,0600000US5103395119,54500
96,0600000US5103395271,63367
97,0600000US5103593551,39341
98,0600000US5103594175,47992
99,0600000US5103595071,47019
100,0600000US5103595087,47539
101,0600000US5103596007,38627
102,0600000US5103691215,61731
103,0600000US5103691365,56974
104,0600000US5103691515,61538
105,0600000US5103790128,44292
106,0600000US5103790712,30417
107,0600000US5103794431,40064
108,0600000US5103794687,39318
109,0600000US5103795351,38929
110,0600000US5103796223,33950
111,0600000US5104190248,69260
112,0600000US5104190896,82878
113,0600000US5104191088,68519
114,0600000US5104194575,98845
115,0600000US5104194679,83793
116,0600000US5104390256,60958
117,0600000US5104390544,72109
118,0600000US5104394703,100625
119,0600000US5104395495,95938
120,0600000US5104396367,85000
121,0600000US5104591024,56982
122,0600000US5104591032,68108
123,0600000US5104594823,31513
124,0600000US5104595135,55655
125,0600000US5104595703,47708
126,0600000US5104790640,59254
127,0600000US5104790680,80000
128,0600000US5104793447,51510
129,0600000US5104794079,91698
